id_k2;nazev;zkratka;mena;cena;mnozstvi;
43481;O-KROUZEK 37,3x4,5 NBR80;O-KROUZEK 37,3x4,5 NBR80;CZK;3,84000;1;
42429;PODLOZKA IZOL. 4,5  D00791 (vlákno)                               ;PODLOZKA IZOL. 4,5  D00791 (vlákno)                               ;CZK;0,54200;2;
41993;PODLOZKA 4,3 DIN 125-A4 (BN 671)                                  ;PODLOZKA 4,3 DIN 125-A4 (BN 671)                                  ;CZK;0,19000;2;
41936;PRUZINA 4022 187 87121                                            ;PRUZINA 4022 187 87121                                            ;CZK;3,38000;2;
41990;SROUB M4X6 ISO 14583-A4 (BN 20038)                                ;SROUB M4X6 ISO 14583-A4 (BN 20038)                                ;CZK;0,62500;4;
42377;  DPS FEI 1011213 (GOLD) Isola IS400                             ;  DPS FEI 1011213 (GOLD) Isola IS400                             ;CZK;65,68000;1;
42339;  TK SMD 1206 1N/500V 5% C0G/NPO (V PASU) RoHS                   ;  TK SMD 1206 1N/500V 5% C0G/NPO (V PASU) RoHS                   ;EUR;0,02160;2;
22223;  TK SMD 1210 1M/100V 10% X7R (V PASU) RoHS                      ;  TK SMD 1210 1M/100V 10% X7R (V PASU) RoHS                      ;EUR;0,03040;2;
42341;  LT1389BCS8-5 (SMD SOIC-8) RoHS                                 ;  LT1389BCS8-5 (SMD SOIC-8) RoHS                                 ;USD;4,16700;1;
30594;  ODPOR SMD 1206 200K/F (V PASU)  RoHS                           ;  ODPOR SMD 1206 200K/F (V PASU)  RoHS                           ;USD;0,0016;9;
42344;  ODPOR SMD 1206 130K/F (V PASU) RoHS                            ;  ODPOR SMD 1206 130K/F (V PASU) RoHS                            ;USD;0,0016;1;
42342;  ODPOR SMD 1206 10M/F (V PASU) RoHS                             ;  ODPOR SMD 1206 10M/F (V PASU) RoHS                             ;USD;0,0016;3;
23666;  ODPOR SMD 1206 100K/F (V PASU) 0,25W RoHS                      ;  ODPOR SMD 1206 100K/F (V PASU) 0,25W RoHS                      ;USD;0,0016;1;
9609;  ODPOR SMD 1206 390K/F (V PASU)                                 ;  ODPOR SMD 1206 390K/F (V PASU)                                 ;USD;0,0016;1;
42345;  FMMT558TA (SMD SOT-23) RoHS                                    ;  FMMT558TA (SMD SOT-23) RoHS                                    ;CZK;5,77840;1;
38110;  FMMT458TA (SMD SOT-23) RoHS                                    ;  FMMT458TA (SMD SOT-23) RoHS                                    ;CZK;5,12000;1;
42347;  ZD 0,25W 62V BZX84C62 (SMD SOT23) RoHS                         ;  ZD 0,25W 62V BZX84C62 (SMD SOT23) RoHS                         ;CZK;0,63790;1;
42348;  ZD 0,25W 47V BZX84C47 (SMD SOT23) RoHS                         ;  ZD 0,25W 47V BZX84C47 (SMD SOT23) RoHS                         ;CZK;0,63790;1;
29812;  BAS16 (SMD SOT23) 75V/200mA RoHS                               ;  BAS16 (SMD SOT23) 75V/200mA RoHS                               ;EUR;0,01200;1;
42340;  TK 4N7/2000V 10%  X7R RM7,5 RoHS                               ;  TK 4N7/2000V 10%  X7R RM7,5 RoHS                               ;CZK;6,52000;1;
41946;  PAJECI KOLIK 4022 007 45740                                    ;  PAJECI KOLIK 4022 007 45740                                    ;CZK;2,61000;3;
41989;SROUB M3X8 ISO 14583-A4 (BN 20038)                                ;SROUB M3X8 ISO 14583-A4 (BN 20038)                                ;CZK;0,66000;3;
41991;SROUB M4X16 ISO 14583-A4 (BN 20038)                               ;SROUB M4X16 ISO 14583-A4 (BN 20038)                               ;CZK;0,99000;2;
42297;SROUB M3X40 ISO 14583-A4 (BN 20038)                               ;SROUB M3X40 ISO 14583-A4 (BN 20038)                               ;CZK;2,22000;2;
41992;PODLOZKA 3,2 DIN 125-A4 (BN 671), ISO 7089                        ;PODLOZKA 3,2 DIN 125-A4 (BN 671), ISO 7089                        ;CZK;0,16000;7;
41993;PODLOZKA 4,3 DIN 125-A4 (BN 671)                                  ;PODLOZKA 4,3 DIN 125-A4 (BN 671)                                  ;CZK;0,19000;2;
42299;PODLOZKA 4,3 DIN 6798A-A4 (BN4880)                                ;PODLOZKA 4,3 DIN 6798A-A4 (BN4880)                                ;CZK;0,42000;4;
41947;KRYT 4022 261 52251                                               ;KRYT 4022 261 52251                                               ;CZK;267,00000;1;
42346;FOTONASOBIC R580 PMT Tube, vèetnì patice                          ;FOTONASOBIC R580 PMT Tube, vèetnì patice                          ;EUR;234,00000;1;
41020;VODIÈ 200-24HVFEP-CLR                                             ;VODIÈ 200-24HVFEP-CLR                                             ;USD;0,9647;1;
42438;KABEL LIYY UL/CSA 3x0,14 (HNEDY)                                  ;KABEL LIYY UL/CSA 3x0,14 (HNEDY)                                  ;USD;0,5774;1;
42440;VODIC OLFLEX HEAT 145 SERIES 0,50MM2              (FEI: 0722 187 00068 )                 ;VODIC OLFLEX HEAT 145 SERIES 0,50MM2              (FEI: 0722 187 00068 )                 ;EUR;0,04900;1;
42928;POUZDRO STINICI 4022 197 55861;POUZDRO STINICI 4022 197 55861;CZK;977,00000;1;
42300;STITEK SAMOLEPICI VYSTRAZNY 90X35MM (FEI 4022 260 08643)          ;STITEK SAMOLEPICI VYSTRAZNY 90X35MM (FEI 4022 260 08643)          ;CZK;15,50000;1;
42809;STITEK TYPOVY 63,5x29,6 mm  odolné vlivùm poèasí ( L6011-20);STITEK TYPOVY 63,5x29,6 mm  odolné vlivùm poèasí ( L6011-20);CZK;1,20000;1;
41374;STITEK TYPOVY 45,7x21,2 mm odolné vlivùm poèasí (L4778-20);STITEK TYPOVY 45,7x21,2 mm odolné vlivùm poèasí (L4778-20);CZK;0,65000;1;
24382;PASKA VINYLOVA D1 DYMO 12/5,5 bílá;PASKA VINYLOVA D1 DYMO 12/5,5 bílá;CZK;0,20000;1;
45232;Balící materiál (ant. sáèky);Balící materiál (ant. sáèky);CZK;70,00000;1;
